,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
0,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-18,NI,,72490,,,,,72180,72180,0,0,0,-310,-310,-0.00427645,0,0
1,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-19,NI,,72180,72180.0,,,,71840,71840,0,0,0,-340,-340,-0.00471045,0,0
2,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-20,NI,,71840,71840.0,,,,72980,72980,0,0,0,1140,1140,0.0158686,0,0
3,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-21,NI,,72980,72980.0,,,,74460,74460,0,0,0,1480,1480,0.02027953,0,0
4,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-22,NI,,74460,74460.0,75430.0,75430.0,71290.0,73170,73700,14,1031820,4,-1290,-760,-0.01732474,0,0
5,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-25,NI,,73700,73170.0,74370.0,74370.0,74370.0,74370,74370,2,148740,2,670,670,0.00909091,0,0
6,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-26,NI,,74370,74370.0,,,,74370,74370,0,0,2,0,0,0.0,0,0
7,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-27,NI,,74370,74370.0,,,,74370,74370,0,0,2,0,0,0.0,0,0
8,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-28,NI,,74370,74370.0,74370.0,74370.0,74370.0,74370,74370,6,446220,8,0,0,0.0,0,0
9,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-04-29,NI,,74370,74370.0,74630.0,74640.0,74630.0,74640,74630,12,895620,18,270,260,0.0036305,0,0
10,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-03,NI,,74630,74640.0,75940.0,75940.0,75940.0,75940,75940,2,151880,18,1310,1310,0.01755326,0,0
11,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-04,NI,,75940,75940.0,,,,75940,75940,0,0,18,0,0,0.0,0,0
12,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-05,NI,,75940,75940.0,,,,75940,75940,0,0,18,0,0,0.0,0,0
13,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-06,NI,,75940,75940.0,,,,75940,75940,0,0,18,0,0,0.0,0,0
14,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-09,NI,,75940,75940.0,,,,74570,74570,0,0,18,-1370,-1370,-0.01804056,0,0
15,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-10,NI,,74570,74570.0,,,,71550,71550,0,0,18,-3020,-3020,-0.04049886,0,0
16,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-11,NI,,71550,71550.0,,,,71550,71550,0,0,18,0,0,0.0,0,0
17,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-12,NI,,71550,71550.0,,,,71550,71550,0,0,18,0,0,0.0,0,0
18,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-13,NI,,71550,71550.0,,,,71550,71550,0,0,18,0,0,0.0,0,0
19,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-16,NI,,71550,71550.0,,,,71390,71390,0,0,18,-160,-160,-0.0022362,0,0
20,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-17,NI,,71390,71390.0,,,,71360,71360,0,0,18,-30,-30,-0.00042023,0,0
21,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-18,NI,,71360,71360.0,,,,71360,71360,0,0,18,0,0,0.0,0,0
22,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-19,NI,,71360,71360.0,,,,70900,70900,0,0,18,-460,-460,-0.00644619,0,0
23,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-20,NI,,70900,70900.0,,,,70900,70900,0,0,18,0,0,0.0,0,0
24,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-23,NI,,70900,70900.0,,,,69790,69790,0,0,18,-1110,-1110,-0.01565585,0,0
25,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-24,NI,,69790,69790.0,,,,69500,69500,0,0,18,-290,-290,-0.00415532,0,0
26,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-25,NI,,69500,69500.0,68160.0,68160.0,68160.0,68160,68160,2,136320,18,-1340,-1340,-0.01928058,0,0
27,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-26,NI,,68160,68160.0,,,,68330,68330,0,0,18,170,170,0.00249413,0,0
28,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-27,NI,,68330,68330.0,,,,68130,68130,0,0,18,-200,-200,-0.00292697,0,0
29,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-30,NI,,68130,68130.0,,,,68130,68130,0,0,18,0,0,0.0,0,0
30,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-05-31,NI,,68130,68130.0,,,,68130,68130,0,0,18,0,0,0.0,0,0
31,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-01,NI,,68130,68130.0,,,,68130,68130,0,0,18,0,0,0.0,0,0
32,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-02,NI,,68130,68130.0,,,,68010,68010,0,0,18,-120,-120,-0.00176134,0,0
33,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-03,NI,,68010,68010.0,69670.0,69670.0,69670.0,69670,69670,2,139340,18,1660,1660,0.02440818,0,0
34,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-06,NI,,69670,69670.0,,,,69670,69670,0,0,18,0,0,0.0,0,0
35,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-07,NI,,69670,69670.0,71760.0,71760.0,70140.0,70140,70950,4,283800,20,470,1280,0.00674609,0,0
36,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-08,NI,,70950,70140.0,,,,70950,70950,0,0,20,0,0,0.0,0,0
37,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-13,NI,,70950,70950.0,,,,70950,70950,0,0,20,0,0,0.0,0,0
38,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-14,NI,,70950,70950.0,,,,70950,70950,0,0,20,0,0,0.0,0,0
39,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-15,NI,,70950,70950.0,,,,70950,70950,0,0,20,0,0,0.0,0,0
40,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-16,NI,,70950,70950.0,,,,70950,70950,0,0,20,0,0,0.0,0,0
41,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-17,NI,,70950,70950.0,,,,70290,70290,0,0,20,-660,-660,-0.00930233,0,0
42,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-20,NI,,70290,70290.0,,,,71560,71560,0,0,20,1270,1270,0.018068,0,0
43,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-21,NI,,71560,71560.0,,,,71940,71940,0,0,20,380,380,0.00531023,0,0
44,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-22,NI,,71940,71940.0,,,,71440,71440,0,0,20,-500,-500,-0.00695024,0,0
45,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-23,NI,,71440,71440.0,,,,71440,71440,0,0,20,0,0,0.0,0,0
46,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-24,NI,,71440,71440.0,74180.0,75250.0,73060.0,73190,74110,138,10227760,22,1750,2670,0.02449608,0,0
47,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-27,NI,,74110,73190.0,72990.0,72990.0,72990.0,72990,72990,4,291960,22,-1120,-1120,-0.01511267,0,0
48,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-28,NI,,72990,72990.0,73530.0,73530.0,73530.0,73530,73530,2,147060,22,540,540,0.00739827,0,0
49,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-29,NI,,73530,73530.0,75970.0,75970.0,75970.0,75970,75970,4,303880,22,2440,2440,0.03318373,0,0
50,NI1704.XSGE,ni1704,XSGE,»¦Äø1704,2016-06-30,NI,,75970,75970.0,76980.0,76980.0,76980.0,76980,76980,8,615840,14,1010,1010,0.01329472,0,0
