,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
0,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-16,AU,,261.55,,,,,261.55,261.55,0,0,0,0.0,0.0,0.0,0,0
1,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-17,AU,,261.55,261.55,,,,261.55,261.55,0,0,0,0.0,0.0,0.0,0,0
2,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-18,AU,,261.55,261.55,267.6,268.25,267.6,268.25,267.9,4,1071700,4,6.7,6.35,0.02561652,0,0
3,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-21,AU,,267.9,268.25,,,,267.9,267.9,0,0,4,0.0,0.0,0.0,0,0
4,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-22,AU,,267.9,267.9,,,,267.9,267.9,0,0,4,0.0,0.0,0.0,0,0
5,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-23,AU,,267.9,267.9,,,,267.9,267.9,0,0,4,0.0,0.0,0.0,0,0
6,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-24,AU,,267.9,267.9,260.0,260.0,260.0,260.0,260.0,2,520000,6,-7.9,-7.9,-0.02948862,0,0
7,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-25,AU,,260.0,260.0,,,,260.0,260.0,0,0,6,0.0,0.0,0.0,0,0
8,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-28,AU,,260.0,260.0,258.05,258.75,257.399,258.75,258.149,8,2065300,12,-1.25,-1.851,-0.00480769,0,0
9,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-29,AU,,258.149,258.75,258.05,258.05,258.05,258.05,258.05,2,516100,12,-0.099,-0.099,-0.0003835,0,0
10,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-30,AU,,258.05,258.05,259.0,263.25,259.0,260.649,261.1,18,4699900,8,2.599,3.05,0.01007169,0,0
11,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-03-31,AU,,261.1,260.649,260.85,260.85,259.85,260.0,260.0,26,6761100,28,-1.1,-1.1,-0.00421295,0,0
12,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-04-01,AU,,260.0,260.0,261.0,261.45,261.0,261.0,261.0,42,10962900,70,1.0,1.0,0.00384615,0,0
13,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-04-05,AU,,261.0,261.0,258.899,258.899,258.899,258.899,258.899,16,4142400,54,-2.101,-2.101,-0.00804981,0,0
14,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-04-06,AU,,258.899,258.899,,,,258.899,258.899,0,0,54,0.0,0.0,0.0,0,0
15,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-04-07,AU,,258.899,258.899,260.45,260.45,258.55,259.35,259.55,10,2595500,56,0.451,0.651,0.00174199,0,0
16,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-04-08,AU,,259.55,259.35,261.399,262.0,261.399,262.0,261.649,8,2093200,56,2.45,2.099,0.00943941,0,0
17,AU1704.XSGE,au1704,XSGE,»¦»Æ½ð1704,2016-04-11,AU,,261.649,262.0,263.35,263.35,263.35,263.35,263.35,2,526700,56,1.701,1.701,0.00650108,0,0
