,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
91,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-08-26,PB,,14100,14100.0,14010.0,14010.0,14010.0,14010,14010,2,140100,120,-90,-90,-0.00638298,0,0
92,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-08-29,PB,,14010,14010.0,,,,13945,13945,0,0,120,-65,-65,-0.00463954,0,0
93,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-08-30,PB,,13945,13945.0,,,,13940,13940,0,0,120,-5,-5,-0.00035855,0,0
94,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-08-31,PB,,13940,13940.0,,,,13995,13995,0,0,120,55,55,0.00394548,0,0
95,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-01,PB,,13995,13995.0,14055.0,14425.0,14055.0,14420,14330,8,573200,126,425,335,0.03036799,0,0
96,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-02,PB,,14330,14420.0,14805.0,14900.0,14560.0,14560,14640,28,2050050,142,230,310,0.01605024,0,0
97,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-05,PB,,14640,14560.0,14440.0,14680.0,14440.0,14680,14565,8,582700,142,40,-75,0.00273224,0,0
98,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-06,PB,,14565,14680.0,14565.0,14565.0,14565.0,14565,14565,4,291300,140,0,0,0.0,0,0
99,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-07,PB,,14565,14565.0,14415.0,14415.0,14370.0,14370,14390,8,575700,140,-195,-175,-0.01338826,0,0
100,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-08,PB,,14390,14370.0,,,,14335,14335,0,0,140,-55,-55,-0.0038221,0,0
101,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-09,PB,,14335,14335.0,,,,14335,14335,0,0,140,0,0,0.0,0,0
102,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-12,PB,,14335,14335.0,14270.0,14270.0,14015.0,14145,14125,20,1412600,146,-190,-210,-0.01325427,0,0
103,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-13,PB,,14125,14145.0,13985.0,14040.0,13985.0,14040,14020,20,1402450,136,-85,-105,-0.0060177,0,0
104,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-14,PB,,14020,14040.0,,,,14035,14035,0,0,136,15,15,0.0010699,0,0
105,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-19,PB,,14035,14035.0,,,,14200,14200,0,0,136,165,165,0.01175632,0,0
106,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-20,PB,,14200,14200.0,,,,14410,14410,0,0,136,210,210,0.01478873,0,0
107,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-21,PB,,14410,14410.0,,,,14320,14320,0,0,136,-90,-90,-0.00624566,0,0
108,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-22,PB,,14320,14320.0,14635.0,14635.0,14490.0,14490,14615,26,1900550,118,170,295,0.01187151,0,0
109,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-23,PB,,14615,14490.0,14735.0,14735.0,14735.0,14735,14735,2,147350,116,120,120,0.00821074,0,0
110,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-26,PB,,14735,14735.0,,,,14570,14570,0,0,116,-165,-165,-0.01119783,0,0
111,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-27,PB,,14570,14570.0,14680.0,14830.0,14575.0,14830,14645,14,1025450,122,260,75,0.01784489,0,0
112,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-28,PB,,14645,14830.0,14700.0,14700.0,14590.0,14600,14610,12,876700,128,-45,-35,-0.00307272,0,0
113,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-29,PB,,14610,14600.0,14890.0,14925.0,14890.0,14905,14905,6,447200,130,295,295,0.02019165,0,0
114,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-09-30,PB,,14905,14905.0,15120.0,15205.0,15020.0,15070,15075,64,4824400,164,165,170,0.01107011,0,0
115,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-10-10,PB,,15075,15070.0,15325.0,15325.0,15325.0,15325,15325,12,919500,176,250,250,0.01658375,0,0
116,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-10-11,PB,,15325,15325.0,,,,15505,15505,0,0,176,180,180,0.01174551,0,0
117,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-10-12,PB,,15505,15505.0,15445.0,15480.0,15380.0,15425,15440,42,3243100,196,-80,-65,-0.00515963,0,0
118,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-10-13,PB,,15440,15425.0,15390.0,15445.0,15215.0,15310,15365,24,1844350,184,-130,-75,-0.00841969,0,0
119,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-10-14,PB,,15365,15310.0,,,,15290,15290,0,0,184,-75,-75,-0.00488122,0,0
