,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
187,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-01-19,HC,L2,3718,3718.0,,,,3718,3718,0,0,40,0,0,0.0,0,0
188,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-01-20,HC,L2,3718,3718.0,3488.0,3488.0,3488.0,3488,3488,4,139520,40,-230,-230,-0.06186122,0,0
189,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-01-23,HC,L2,3488,3488.0,3449.0,3449.0,3449.0,3449,3449,36,1241640,4,-39,-39,-0.01118119,0,0
190,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-01-24,HC,L2,3449,3449.0,,,,3350,3350,0,0,4,-99,-99,-0.02870397,0,0
191,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-01-25,HC,L2,3350,3350.0,3506.0,3538.0,3502.0,3532,3515,12,421800,6,182,165,0.05432836,0,0
192,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-01-26,HC,L2,3515,3532.0,,,,3485,3485,0,0,6,-30,-30,-0.00853485,0,0
193,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-03,HC,L2,3485,3485.0,3503.0,3503.0,3470.0,3481,3491,10,349160,4,-4,6,-0.00114778,0,0
194,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-06,HC,L2,3491,3481.0,,,,3491,3491,0,0,4,0,0,0.0,0,0
195,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-07,HC,L2,3491,3491.0,,,,3491,3491,0,0,4,0,0,0.0,0,0
196,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-08,HC,L2,3491,3491.0,,,,3734,3734,0,0,4,243,243,0.06960756,0,0
197,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-09,HC,L2,3734,3734.0,,,,3842,3842,0,0,4,108,108,0.02892341,0,0
198,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-10,HC,L2,3842,3842.0,,,,3842,3842,0,0,4,0,0,0.0,0,0
199,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-13,HC,L2,3842,3842.0,,,,3842,3842,0,0,4,0,0,0.0,0,0
200,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-14,HC,L2,3842,3842.0,,,,3842,3842,0,0,4,0,0,0.0,0,0
201,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-15,HC,L2,3842,3842.0,3586.0,3754.0,3586.0,3754,3670,4,146800,2,-88,-172,-0.02290474,0,0
202,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2017-02-16,HC,L1,3670,3754.0,,,,3670,3670,0,0,2,0,0,0.0,0,0
